"point_id","point_type","identifier","longitude","latitude","location","ordering"
"74","sensor","74","-71.0686319","42.361042","null","0"
"75","sensor","75","-71.068884","42.36139","null","0"
"76","sensor","76","-71.068783","42.362334","null","0"
"77","sensor","77","-71.069279","42.362149","null","0"
"78","sensor","78","-71.069631","42.361253","null","0"
"79","sensor","79","-71.069664","42.361257","null","0"
"80","sensor","80","-71.0699529","42.3614118","null","0"
"81","sensor","81","-71.070093","42.3614869","null","0"
"82","sensor","82","-71.070018","42.361697","null","0"
"83","sensor","83","-71.070966","42.360931","null","0"
"84","sensor","84","-71.0708472","42.3611697","null","0"
"85","sensor","85","-71.070523","42.361175","null","0"
"86","sensor","86","-71.070523","42.361207","null","0"
"87","sensor","87","-71.070425","42.361458","null","0"
"88","sensor","88","-71.070093","42.3614869","null","0"
"89","sensor","89","-71.070018","42.361697","null","0"
"90","sensor","90","-71.070334","42.361875","null","0"
"91","sensor","91","-71.0706574","42.3619166","null","0"
"92","sensor","92","-71.0706809","42.3619376","null","0"
"93","sensor","93","-71.0706393","42.362079","null","0"
"94","sensor","94","-71.0702604","42.362397","null","0"
"95","sensor","95","-71.0704018","42.3624239","null","0"
"96","sensor","96","-71.0705799","42.36243","null","0"
"97","sensor","97","-71.0702881","42.3625448","null","0"
"98","sensor","98","-71.0704756","42.3626722","null","0"
"99","sensor","99","-71.072132","42.36143","null","0"
"100","sensor","100","-71.0727925","42.3614162","null","0"
"101","sensor","101","-71.067676","42.367137","null","0"
"102","sensor","102","-71.066829","42.366923","null","0"
"103","sensor","103","-71.066578","42.366809","null","0"
"104","sensor","104","-71.066388","42.366767","null","0"
"105","sensor","105","-71.068212","42.366575","null","0"
"106","sensor","106","-71.067927","42.3659869","null","0"
"107","sensor","107","-71.067973","42.365858","null","0"
"108","sensor","108","-71.067559","42.365601","null","0"
"109","sensor","109","-71.06741","42.365632","null","0"
"110","sensor","110","-71.067326","42.365607","null","0"
"111","sensor","111","-71.066909","42.3654439","null","0"
"112","sensor","112","-71.066698","42.366003","null","0"
"113","sensor","113","-71.05114","42.355307","null","0"
"114","sensor","114","-71.0525439","42.3556918","null","0"
"115","sensor","115","-71.05256","42.3553817","null","0"
"116","sensor","116","-71.0549149","42.3559159","null","0"
"117","sensor","117","-71.0554702","42.3555869","null","0"
"118","sensor","118","-71.0556794","42.3556642","null","0"
"119","sensor","119","-71.0557518","42.3555175","null","0"
"120","sensor","120","-71.054673","42.353849","null","0"
